n_cycles,cycle_len,variance,,RE,gamma,n_cycles,nominator,variance,RE,gamma,prob,CI lower,,CI upper,,RE,,,,,cover,,cover,quantile,,CI lower,CI upper,RE,,cover,cover,,
100000,0.83866,0.004730676,,0.005640755,19.774,100000,0.000826074,2.95E-05,0.035671628,19.774,0.000984993,0.00091527,0.0008921,0.001054716,0.001077886,0.03611486,,3.55729E-05,1.26816E-09,1.26543E-09,TRUE,1,1,19.72553177,0.002349169,19.65472649,19.79633705,0.00183139,,TRUE,1,0,1
100000,0.83213,0.004756816,,0.005716433,19.774,100000,0.000816184,1.76E-05,0.021562087,19.774,0.000980837,0.000937953,0.000887944,0.001023721,0.00107373,0.022306976,,2.18795E-05,4.78783E-10,4.78713E-10,TRUE,1,1,19.72972747,0.001960057,19.65795735,19.80149759,0.001855951,,TRUE,1,0,1
100000,0.85018,0.004894644,,0.005757186,19.774,100000,0.000794033,1.38E-05,0.017349907,19.774,0.000933958,0.000900495,0.000841065,0.000967421,0.001026851,0.018280166,,1.70729E-05,2.92385E-10,2.91484E-10,FALSE,1,0,19.57601785,0.039196932,19.5068142,19.64522151,0.001803635,,FALSE,0,1,1
100000,0.83033,0.004728956,,0.005695272,19.774,100000,0.00091929,9.40E-05,0.102240528,19.774,0.001107138,0.000884933,0.001014245,0.001329342,0.001200031,0.102399032,,0.00011337,1.28558E-08,1.28527E-08,TRUE,0,1,20.0567153,0.079927941,19.97271407,20.14071653,0.002136829,,FALSE,0,0,0
100000,0.83354,0.004701203,,0.005640045,19.774,100000,0.000806545,1.44E-05,0.017863912,19.774,0.000967614,0.000932086,0.000874721,0.001003142,0.001060507,0.018733111,,1.81264E-05,3.28233E-10,3.28567E-10,TRUE,1,1,19.69692978,0.005939819,19.62408894,19.76977062,0.001886776,,FALSE,0,1,1
100000,0.84011,0.004733482,,0.00563436,19.774,100000,0.000852563,3.43E-05,0.040191569,19.774,0.001014823,0.000934098,0.00092193,0.001095548,0.001107716,0.040584581,,4.11862E-05,1.69962E-09,1.6963E-09,TRUE,1,1,19.81147607,0.001404456,19.73515218,19.88779996,0.001965566,,TRUE,1,0,1
100000,0.83517,0.004704127,,0.005632538,19.774,100000,0.000825019,1.31E-05,0.015928989,19.774,0.000987846,0.000955133,0.000894953,0.001020559,0.001080739,0.016895508,,1.66902E-05,2.76992E-10,2.78561E-10,TRUE,1,1,19.74559364,0.000806921,19.66790984,19.82327743,0.002007262,,TRUE,1,0,1
100000,0.8312,0.004678874,,0.00562906,19.774,100000,0.000832678,1.49E-05,0.0179406,19.774,0.001001778,0.000964858,0.000908885,0.001038697,0.001094671,0.018802963,,1.88364E-05,3.53137E-10,3.5481E-10,TRUE,1,1,19.77903593,2.53606E-05,19.70511617,19.8529557,0.001906775,,TRUE,1,0,1
100000,0.83364,0.004713029,,0.005653554,19.774,100000,0.000795499,1.17E-05,0.014713907,19.774,0.000954248,0.000924766,0.000861355,0.000983729,0.001047141,0.015762669,,1.50415E-05,2.26081E-10,2.26247E-10,FALSE,1,0,19.6503778,0.015282448,19.57871958,19.72203602,0.00186054,,FALSE,0,1,1
100000,0.82512,0.004678693,,0.005670318,19.774,100000,0.000807302,1.32E-05,0.016336625,19.774,0.000978405,0.000945243,0.000885512,0.001011567,0.001071298,0.01729271,,1.69193E-05,2.86704E-10,2.86262E-10,TRUE,1,1,19.71523373,0.003453474,19.64332368,19.78714378,0.001860937,,TRUE,1,0,1
100000,0.83042,0.004655043,,0.005605649,19.774,100000,0.00082196,1.69E-05,0.020529623,19.774,0.000989812,0.000948526,0.000896919,0.001031098,0.001082705,0.021281182,,2.10644E-05,4.44955E-10,4.43708E-10,TRUE,1,1,19.74592433,0.000788243,19.6691681,19.82268057,0.001983262,,TRUE,1,0,1
100000,0.82544,0.004634877,,0.005615038,19.774,100000,0.000827587,3.05E-05,0.036833817,19.774,0.001002601,0.000929383,0.000909708,0.001075819,0.001095494,0.037259344,,3.73563E-05,1.39699E-09,1.39549E-09,TRUE,1,1,19.78269438,7.55922E-05,19.71411008,19.85127868,0.001768818,,TRUE,1,0,1
100000,0.8296,0.004609169,,0.005555893,19.774,100000,0.000882394,4.86E-05,0.055048163,19.774,0.001063638,0.000948295,0.000970745,0.001178982,0.001156531,0.055327825,,5.88488E-05,3.46683E-09,3.46318E-09,TRUE,1,1,19.95572618,0.033024404,19.87816836,20.03328401,0.001982905,,FALSE,0,0,0
100000,0.82803,0.004691158,,0.005665444,19.774,100000,0.000982093,0.000173794,0.176963321,19.774,0.00118606,0.000774466,0.001093167,0.001597653,0.001278953,0.177053987,,0.000209997,4.40983E-08,4.40986E-08,TRUE,0,1,20.00733173,0.054443696,19.92942651,20.08523696,0.00198665,,FALSE,0,0,0
100000,0.82961,0.00471126,,0.005678885,19.774,100000,0.000813907,1.79E-05,0.022020723,19.774,0.000981072,0.000937343,0.000888179,0.001024801,0.001073965,0.022741196,,2.23108E-05,4.96582E-10,4.9777E-10,TRUE,1,1,19.71691048,0.003259213,19.64403761,19.78978335,0.001885693,,TRUE,1,0,1
