n_cycles,cycle_len,variance,RE,gamma,n_cycles,nominator,variance,RE,gamma,prob,CI lower,CI upper,RE,cover,RE,quantile,CI lower,CI upper,cover,cover,cover
100000,0.62298,0.003717628,0.005967492,9.5247,100000,0.000611249,1.05E-05,0.017206054,9.5247,0.000981169,0.000946146,0.001016191,0.018211605,TRUE,9.507878947,9.471869675,9.54388822,0.0019323,TRUE,1,1
100000,0.62368,0.00372492,0.005972487,9.5247,100000,0.000608794,9.02E-06,0.014817618,9.5247,0.000976132,0.000945566,0.001006698,0.015976075,TRUE,9.496165874,9.457463863,9.534867886,0.002079358,TRUE,1,1
100000,0.62354,0.003734083,0.005988523,9.5247,100000,0.000620292,1.08E-05,0.017373924,9.5247,0.000994791,0.000958959,0.001030622,0.018377133,TRUE,9.52028154,9.484089504,9.556473575,0.001939578,TRUE,1,1
100000,0.6199,0.003708024,0.005981648,9.5247,100000,0.000629499,1.36E-05,0.021666619,9.5247,0.001015485,0.000970747,0.001060223,0.022477268,TRUE,9.539875351,9.503674126,9.576076577,0.001936085,TRUE,1,1
100000,0.621,0.003765234,0.006063179,9.5247,100000,0.000613906,1.25E-05,0.02037916,9.5247,0.000988576,0.000947378,0.001029773,0.021262099,TRUE,9.509680112,9.47358004,9.545780184,0.001936806,TRUE,1,1
100000,0.62817,0.003741166,0.005955659,9.5247,100000,0.000624103,1.19E-05,0.01905711,9.5247,0.000993526,0.000954645,0.001032406,0.019966154,TRUE,9.517741755,9.480282216,9.555201294,0.00200804,TRUE,1,1
100000,0.61514,0.003630513,0.00590193,9.5247,100000,0.000619553,1.09E-05,0.017648983,9.5247,0.001007173,0.000970437,0.00104391,0.018609752,TRUE,9.532084542,9.496278169,9.567890916,0.001916533,TRUE,1,1
100000,0.6271,0.0037118,0.005918991,9.5247,100000,0.000621956,2.05E-05,0.033033991,9.5247,0.000991797,0.000926558,0.001057035,0.033560249,TRUE,9.5151897,9.479682127,9.550697273,0.001903915,TRUE,1,1
100000,0.62863,0.003777743,0.006009486,9.5247,100000,0.000613758,1.05E-05,0.017087708,9.5247,0.000976343,0.00094168,0.001011006,0.018113723,TRUE,9.491631462,9.45550105,9.527761875,0.00194212,TRUE,1,1
100000,0.62976,0.003807601,0.006046114,9.5247,100000,0.000630103,1.44E-05,0.022819031,9.5247,0.001000545,0.000954251,0.001046839,0.023606551,TRUE,9.525343829,9.487936254,9.562751404,0.002003654,TRUE,1,1
100000,0.62592,0.00379205,0.006058362,9.5247,100000,0.000680395,6.09E-05,0.089515604,9.5247,0.001087032,0.000895875,0.00127819,0.089720832,TRUE,9.627468961,9.589498532,9.66543939,0.002012229,FALSE,1,0
100000,0.63061,0.003763962,0.005968764,9.5247,100000,0.000607114,1.26E-05,0.020808666,9.5247,0.000962741,0.000921892,0.00100359,0.021647896,TRUE,9.476520042,9.441275052,9.511765032,0.001897547,FALSE,1,0
100000,0.6263,0.003754688,0.005995031,9.5247,100000,0.000613798,1.84E-05,0.029993975,9.5247,0.000980038,0.000921284,0.001038793,0.030587388,TRUE,9.495446075,9.458922378,9.531969772,0.001962471,TRUE,1,1
100000,0.62296,0.003732614,0.00599174,9.5247,100000,0.000616167,1.28E-05,0.020693818,9.5247,0.000989096,0.00094733,0.001030862,0.021543902,TRUE,9.516963439,9.479463408,9.554463469,0.002010375,TRUE,1,1
100000,0.62434,0.003809304,0.006101329,9.5247,100000,0.000609821,1.12E-05,0.018447063,9.5247,0.000976746,0.000939548,0.001013943,0.01942998,TRUE,9.4914532,9.457244909,9.525661491,0.001838834,TRUE,1,1
100000,0.62725,0.003759611,0.0059938,9.5247,100000,0.000594142,1.02E-05,0.017161213,9.5247,0.000947217,0.000913469,0.000980965,0.018177903,FALSE,9.467115327,9.432020185,9.502210469,0.001891356,FALSE,0,0
100000,0.62246,0.003757504,0.006036539,9.5247,100000,0.000605425,1.01E-05,0.016614593,9.5247,0.000972633,0.000938934,0.001006333,0.01767732,TRUE,9.48847801,9.450750401,9.526205619,0.002028648,TRUE,1,1
100000,0.61817,0.003691796,0.005972137,9.5247,100000,0.000604378,1.36E-05,0.022525458,9.5247,0.000977689,0.000933033,0.001022346,0.023303822,TRUE,9.49386847,9.456982115,9.530754826,0.001982287,TRUE,1,1
100000,0.62597,0.003782184,0.006042117,9.5247,100000,0.000624899,1.97E-05,0.031527678,9.5247,0.000998289,0.000935478,0.001061101,0.032101588,TRUE,9.5225773,9.48887984,9.55627476,0.001805455,TRUE,1,1
100000,0.62882,0.003751594,0.005966085,9.5247,100000,0.000644811,1.67E-05,0.025940586,9.5247,0.00102543,0.000971932,0.001078928,0.02661795,TRUE,9.557063941,9.519828044,9.594299839,0.001987839,TRUE,1,1
100000,0.62646,0.003793294,0.006055125,9.5247,100000,0.000631774,1.79E-05,0.02840369,9.5247,0.001008483,0.000951078,0.001065888,0.029042083,TRUE,9.536961135,9.500738675,9.573183596,0.001937813,TRUE,1,1
100000,0.63062,0.003746463,0.00594092,9.5247,100000,0.00061022,1.03E-05,0.016840834,9.5247,0.000967651,0.000933781,0.00100152,0.017858091,TRUE,9.488890459,9.454033272,9.523747646,0.001874221,FALSE,1,0
100000,0.62292,0.003718616,0.005969653,9.5247,100000,0.000628053,1.33E-05,0.021149333,9.5247,0.00100824,0.000964813,0.001051668,0.021975802,TRUE,9.534385357,9.497621725,9.571148989,0.001967296,TRUE,1,1
100000,0.6213,0.003738511,0.006017239,9.5247,100000,0.000592261,9.38E-06,0.015843915,9.5247,0.000953261,0.000921595,0.000984927,0.016948147,FALSE,9.476586347,9.439905288,9.513267405,0.001974849,FALSE,0,0
100000,0.62731,0.003731986,0.00594919,9.5247,100000,0.000610101,1.14E-05,0.018694351,9.5247,0.000972566,0.00093517,0.001009963,0.019618243,TRUE,9.493892038,9.460060766,9.527723309,0.001818101,TRUE,1,1
100000,0.62264,0.003733737,0.005996623,9.5247,100000,0.000666177,5.43E-05,0.081549905,9.5247,0.001069924,0.000898447,0.001241401,0.081770492,TRUE,9.603673987,9.56777916,9.639568814,0.001906946,FALSE,1,0
100000,0.62954,0.003750999,0.005958317,9.5247,100000,0.000626078,1.29E-05,0.020585367,9.5247,0.0009945,0.000952727,0.001036273,0.021430433,TRUE,9.519211782,9.484965977,9.553457587,0.001835483,TRUE,1,1
,,,,,,,,,,,,,,,,,,,,88/100,69/100
